eventType,type 
policy.scheduled.execute,event
policy.evaluate_sign_on,event
user.authentication.verify,event
app.oauth2.as.consent.revoke.implicit.client,event
system.agent.ad.update_user,event
system.push.send_factor_verify_push,event
system.sms.send_password_reset_message,event
system.org.rate_limit.warning,alert
application.provision.user.verify_exists,event
app.user_management.push_new_user_success,event
system.email.mfa_enroll_notification.sent_message,event
policy.rule.action.execute,event
application.policy.sign_on.deny_access,event
system.email.mfa_reset_notification.sent_message,event
system.email.new_device_notification.sent_message,event
system.agent.ad.connect,event
system.org.rate_limit.violation,alert
system.import.membership_processing.start,event
system.import.membership_processing.complete,event
system.import.user_matching.start,event
system.import.complete_batch,event
system.import.user_matching.complete,event
system.import.custom_object.complete,event
system.import.user.complete,event
system.import.group.complete,event
system.import.group_membership.complete,event
system.import.complete,event
user.mfa.okta_verify.deny_push,event
app.oauth2.token.revoke,event
system.import.implicit_deletion.start,event
system.import.implicit_deletion.complete,event
app.oauth2.admin.consent.grant,event
user.account.privilege.grant,event
app.generic.unauth_app_access_attempt,alert
system.agent.ad.realtimesync,event
group.user_membership.rule.trigger,event
plugin.script_status,event
security.threat.detected,alert
system.email.password_reset.sent_message,event
system.sms.send_okta_push_verify_message,event
system.sms.send_phone_verification_message,event
app.oauth2.authorize.implicit.id_token,event
app.oauth2.token.grant.refresh_token,event
app.office365.api.error.create.user,alert
